Designator,Value,Center-X,Center-Y,Rotation
C1,100nF-50V,17.7350,19.7850,90
C4,100nF-50V,33.2000,22.7750,0
C7,100nF-50V,21.5750,3.4500,270
C11,100nF-50V,7.3250,14.6000,180
C13,100nF-50V,29.1000,26.8000,90
C17,100nF-50V,21.7000,22.7750,180
C21,100nF-50V,4.5000,23.4250,90
C29,100nF-50V,16.6000,14.6000,180
C31,100nF-50V,15.7000,18.4000,0
C33,100nF-50V,9.7000,18.0000,0
C42,100nF-50V,2.8850,2.9750,0
C45,100nF-50V,19.0750,7.8000,270
C47,100nF-50V,14.5000,14.6000,0
C15,47nF-50V,16.4000,23.0000,180
C27,47nF-50V,17.7250,18.6750,270
C2,22uF-10V,18.5250,21.0000,270
C3,22uF-10V,33.2000,16.8250,0
C12,22uF-10V,29.8750,25.5000,270
C14,22uF-10V,16.6000,24.9000,270
C16,22uF-10V,19.5000,24.9000,270
C24,22uF-10V,15.7250,21.0000,90
C26,22uF-10V,18.6250,14.3000,90
C34,22uF-10V,7.7000,17.6000,180
C44,22uF-10V,15.9250,6.9500,0
C46,22uF-10V,15.7000,11.5250,90
C48,22uF-10V,18.6250,12.8250,90
C49,22uF-10V,6.5000,17.6000,180
C51,22uF-10V,33.2000,19.6000,0
C23,1uF-10V,12.8500,21.7000,270
C36,1uF-10V,7.2000,27.1000,0
C38,1uF-10V,11.9000,25.1000,0
C50,1uF-10V,12.8000,23.5000,270
C35,220nF-16V,8.7500,26.6000,270
C41,10pF-50V,2.1000,5.4500,270
C43,220uF-6.3V,18.4250,4.4500,270
C5,4.7uF-6.3V,25.8000,22.3000,90
C6,4.7uF-6.3V,27.7000,22.3000,270
C19,4.7uF-6.3V,12.8500,20.8000,270
C22,4.7uF-6.3V,12.2000,19.9000,270
C28,4.7uF-6.3V,15.7000,14.6000,180
C30,4.7uF-6.3V,12.8000,22.6000,270
C8,33pF-50V,9.4000,14.6000,0
C9,33pF-50V,13.4000,14.6000,0
C10,33pF-50V,11.4000,14.6000,0
C18,33pF-50V,23.3500,22.3000,270
C20,33pF-50V,4.5000,22.4250,90
C25,33pF-50V,15.2750,19.8500,270
C32,33pF-50V,8.8000,18.0000,0
C37,33pF-50V,6.3000,27.1000,0
RF_S2,33pF-50V,30.4500,3.4500,270
D1,PESD5V0U1BB,8.4000,14.6000,0
D2,PESD5V0U1BB,5.2000,2.5500,270
D3,PESD5V0U1BB,12.4000,14.6000,0
D4,PESD5V0U1BB,10.4000,14.6000,0
DS1,APG1005VBC-A1-5MAV,18.3250,2.5500,0
FB1,BLM15AG102SN1D,4.4000,21.5250,270
FB3,BLM15AG102SN1D,8.7500,27.5000,90
FB2,BLM15PD121SN1D,15.7000,16.5000,0
FB4,BLM18PG331SN1D,1.7500,3.4250,270
FB5,BLM18SP601SH1D,15.7000,12.8250,0
J2,U.FL-R-SMT-1(60),32.9875,3.4500,270
L1,2.2uH,11.4000,17.5500,180
L3,2.2uH,15.7000,9.6250,90
L2,6.8nH,6.3000,29.1000,270
M1,nRF9160-SICA-B1A-R,26.3500,12.8000,270
P1,53261-0271,3.2250,6.9750,270
PATCH1,YNU01A0AA,18.8667,16.7375,180
Q1,PMF170XP,19.6000,23.0000,0
Q2,PMF170XP,17.6000,16.8500,180
R1,10k,19.4350,19.2350,0
R7,10k,21.7000,25.0500,0
R13,0R,12.6500,28.8000,270
R14,0R,15.6000,28.8000,270
R20,0R,2.1750,8.4500,90
R22,0R,4.9000,4.4250,0
RF_S1,0R,27.3750,3.4500,270
R17,270k,15.6500,3.4500,90
R19,270k,15.6500,2.5000,270
R2,150R,29.1000,28.6000,90
R3,150R,31.1000,28.6000,90
R4,150R,29.1000,27.7000,90
R6,150R,20.4250,2.5500,90
R15,150R,10.3000,19.9000,270
R16,150R,8.3000,19.9000,90
R24,150R,14.8500,23.5000,90
R21,56.2k,19.0000,11.5250,270
R23,191k,13.9500,15.9500,270
R5,10R,6.3500,14.6750,180
R8,10R,31.1000,26.8000,90
R12,10R,14.9000,22.6000,90
R9,1.2M,17.5000,23.0000,0
R10,1.2M,19.4250,16.8500,180
R11,1.2M,14.8000,18.4000,0
R18,1.2M,33.1500,10.4750,180
SIM1,0201AAAG06A,9.2000,6.9583,180
U1,DRV5032FBDBZR,1.7750,15.9750,90
U10,MAX38640AELT,18.5000,9.6625,0
U2,LIS2DH12TR,30.1500,23.2000,90
U3,SST26VF032BT-104I-MF,25.1000,26.5000,270
U4,MAX38640AENT,13.4000,17.6000,270
U5,UBX-M10050-KB,8.6620,23.2000,270
U6,SAFFB1G56KB0F0A,4.3250,25.2587,180
U8,SAFFB1G56KB0F0A,9.5000,29.0913,0
U7,BGA824N6E6327XTSA1,4.3000,27.6000,90
U9,TPS22915CYFPR,15.7750,4.7750,0
XTAL1,32.768kHz,6.2000,19.8000,180
Y1,NT2016SA-26.000000MHZ-NBG2,13.8000,25.2500,0
